"","type","count","length","lang","relative_frequency","random_baseline","min_baseline"
"348","kompetentaj",1,11,"Esperanto",0.000593119810201661,6,6
"349","tribunaloj",1,10,"Esperanto",0.000593119810201661,4,7
"350","efikan",1,6,"Esperanto",0.000593119810201661,4,7
"351","riparon",1,7,"Esperanto",0.000593119810201661,5,7
"352","fundamentajn",1,12,"Esperanto",0.000593119810201661,10,7
"353","konstitucio",1,11,"Esperanto",0.000593119810201661,7,7
"354","le",1,2,"Esperanto",0.000593119810201661,3,7
"355","ĝoj",1,3,"Esperanto",0.000593119810201661,10,7
"356","areston",1,7,"Esperanto",0.000593119810201661,10,7
"357","malliberigon",1,12,"Esperanto",0.000593119810201661,1,7
"358","ekzilon",1,7,"Esperanto",0.000593119810201661,9,7
"359","egaleco",1,7,"Esperanto",0.000593119810201661,7,7
"360","justa",1,5,"Esperanto",0.000593119810201661,7,7
"361","senpartia",1,9,"Esperanto",0.000593119810201661,6,7
"362","tribunalo",1,9,"Esperanto",0.000593119810201661,1,7
"363","prijuĝ",1,6,"Esperanto",0.000593119810201661,6,7
"364","liaj",1,4,"Esperanto",0.000593119810201661,8,7
"365","devoj",1,5,"Esperanto",0.000593119810201661,4,7
"366","kriminala",1,9,"Esperanto",0.000593119810201661,3,7
"367","akuzo",1,5,"Esperanto",0.000593119810201661,2,7
"368","Ĉiu",1,3,"Esperanto",0.000593119810201661,5,7
"369","akuzita",1,7,"Esperanto",0.000593119810201661,12,7
"370","supozu",1,6,"Esperanto",0.000593119810201661,8,7
"371","lin",1,3,"Esperanto",0.000593119810201661,6,7
"372","senkulpa",1,8,"Esperanto",0.000593119810201661,11,7
"373","pruvos",1,6,"Esperanto",0.000593119810201661,9,7
"374","ŭleĝe",1,5,"Esperanto",0.000593119810201661,6,7
"375","lian",1,4,"Esperanto",0.000593119810201661,7,7
"376","kulpon",1,6,"Esperanto",0.000593119810201661,5,7
"377","ricevis",1,7,"Esperanto",0.000593119810201661,6,7
"378","ĉiujn",1,5,"Esperanto",0.000593119810201661,10,7
"379","garantiojn",1,10,"Esperanto",0.000593119810201661,3,7
"380","n",1,1,"Esperanto",0.000593119810201661,7,7
"381","defendo",1,7,"Esperanto",0.000593119810201661,6,7
"382","konsiderata",1,11,"Esperanto",0.000593119810201661,5,7
"383","krimkulpa",1,9,"Esperanto",0.000593119810201661,3,7
"384","ago",1,3,"Esperanto",0.000593119810201661,6,7
"385","neago",1,5,"Esperanto",0.000593119810201661,4,7
"386","konsistigis",1,11,"Esperanto",0.000593119810201661,6,7
"387","puneblan",1,8,"Esperanto",0.000593119810201661,4,7
"388","faron",1,5,"Esperanto",0.000593119810201661,9,7
"389","juro",1,4,"Esperanto",0.000593119810201661,3,7
"390","farita",1,6,"Esperanto",0.000593119810201661,2,7
